Easting,Northing,Height,Type,UTC_time,Zone,N_Sat
503896.2911154459,1.022122864869839E7,0.0,null,null,61N,0
614810.5077875963,9763232.58050169,88.46224754842859,DGNSS,Fri Nov 13 12:10:43 GMT-05:00 2020,17S,9
614810.4471635468,9763232.284894645,88.5500469128018,DGNSS,Fri Nov 13 12:10:48 GMT-05:00 2020,17S,9
614811.2300547358,9763233.544059169,88.69952564204722,DGNSS,Fri Nov 13 12:10:53 GMT-05:00 2020,17S,9
614811.6586417486,9763234.111361008,88.63256097960823,DGNSS,Fri Nov 13 12:10:58 GMT-05:00 2020,17S,9
614812.0254513075,9763234.436633734,88.64813332570067,DGNSS,Fri Nov 13 12:11:03 GMT-05:00 2020,17S,9
614812.1855948196,9763234.704589408,88.8294186445862,DGNSS,Fri Nov 13 12:11:08 GMT-05:00 2020,17S,9
614812.1601667444,9763234.674266616,88.9665283209032,DGNSS,Fri Nov 13 12:11:13 GMT-05:00 2020,17S,9
614812.3701778149,9763234.773142844,89.2144616740799,DGNSS,Fri Nov 13 12:11:18 GMT-05:00 2020,17S,8
614812.4221095678,9763234.89815535,89.37138652444422,DGNSS,Fri Nov 13 12:11:23 GMT-05:00 2020,17S,9
614812.585238594,9763235.020429011,89.53779247666348,DGNSS,Fri Nov 13 12:11:28 GMT-05:00 2020,17S,9
614812.8013498525,9763235.163694534,89.66111860991775,DGNSS,Fri Nov 13 12:11:33 GMT-05:00 2020,17S,9
614812.8955530879,9763235.13678718,89.65381462041236,DGNSS,Fri Nov 13 12:11:38 GMT-05:00 2020,17S,9
614813.12183481,9763235.073585426,89.64616914618792,DGNSS,Fri Nov 13 12:11:43 GMT-05:00 2020,17S,9
614813.2272534131,9763235.068720268,89.70429439158059,DGNSS,Fri Nov 13 12:11:48 GMT-05:00 2020,17S,8
614813.3546198442,9763235.15239952,89.73344336572019,DGNSS,Fri Nov 13 12:11:54 GMT-05:00 2020,17S,9
614813.4417127412,9763235.13518331,89.78660440868066,DGNSS,Fri Nov 13 12:11:59 GMT-05:00 2020,17S,9
614813.541780727,9763235.183988987,89.8319603244244,DGNSS,Fri Nov 13 12:12:04 GMT-05:00 2020,17S,9
614813.578280829,9763235.142317895,89.7942301753372,DGNSS,Fri Nov 13 12:12:09 GMT-05:00 2020,17S,9
614813.5504607238,9763235.09378567,89.8018807142244,DGNSS,Fri Nov 13 12:12:14 GMT-05:00 2020,17S,9
614813.5553715308,9763235.055045133,89.82129066475837,DGNSS,Fri Nov 13 12:12:19 GMT-05:00 2020,17S,9
614813.5531621387,9763235.025243994,89.81813257345075,DGNSS,Fri Nov 13 12:12:24 GMT-05:00 2020,17S,9
614813.5273192667,9763234.999962596,89.83318488778158,DGNSS,Fri Nov 13 12:12:29 GMT-05:00 2020,17S,9
614813.5091488349,9763234.980192078,89.83254432027917,DGNSS,Fri Nov 13 12:12:34 GMT-05:00 2020,17S,9
614813.4957781527,9763234.985908678,89.84077894613058,DGNSS,Fri Nov 13 12:12:39 GMT-05:00 2020,17S,9
614814.9397620091,9763234.615616724,89.70430935732345,GPS,Fri Nov 13 12:12:44 GMT-05:00 2020,17S,9
614814.9464738298,9763234.61799614,89.69549552308229,GPS,Fri Nov 13 12:12:49 GMT-05:00 2020,17S,9
614814.9404347074,9763234.616157204,89.69978235327801,GPS,Fri Nov 13 12:12:54 GMT-05:00 2020,17S,9
614808.8396578119,9763237.450270914,121.50888759389846,INVALID,Fri Nov 13 12:12:59 GMT-05:00 2020,17S,9
614814.9435410253,9763234.612363305,89.70286879568155,GPS,Fri Nov 13 12:13:04 GMT-05:00 2020,17S,9
614814.9448362498,9763234.619806435,89.69556334614167,GPS,Fri Nov 13 12:13:09 GMT-05:00 2020,17S,9
614814.9433616189,9763234.618294382,89.70340103283246,GPS,Fri Nov 13 12:13:14 GMT-05:00 2020,17S,9
614814.9442767915,9763234.618613185,89.70913056623739,GPS,Fri Nov 13 12:13:19 GMT-05:00 2020,17S,8
614814.9518010244,9763234.61426566,89.69800105610307,GPS,Fri Nov 13 12:13:24 GMT-05:00 2020,17S,9
614814.9471248571,9763234.612662474,89.68913047721843,GPS,Fri Nov 13 12:13:29 GMT-05:00 2020,17S,9
614814.9482086785,9763234.619295653,89.68716130341996,GPS,Fri Nov 13 12:13:34 GMT-05:00 2020,17S,9
614814.9512222693,9763234.618773565,89.69274738651974,GPS,Fri Nov 13 12:13:39 GMT-05:00 2020,17S,9
614814.9505390776,9763234.618858578,89.69139367311114,GPS,Fri Nov 13 12:13:44 GMT-05:00 2020,17S,9
614814.9505081583,9763234.614628801,89.6873037367002,GPS,Fri Nov 13 12:13:49 GMT-05:00 2020,17S,9
614814.9402008776,9763234.6092816,89.69224818915964,GPS,Fri Nov 13 12:13:54 GMT-05:00 2020,17S,9
614814.9403562977,9763234.615403704,89.7022064331843,GPS,Fri Nov 13 12:13:59 GMT-05:00 2020,17S,9
614806.5947301215,9763235.931228805,98.83952349667068,INVALID,Fri Nov 13 12:14:04 GMT-05:00 2020,17S,9
614814.9431601737,9763234.615126738,89.69024048250374,GPS,Fri Nov 13 12:14:09 GMT-05:00 2020,17S,9
614814.9521188678,9763234.613414979,89.697665887662,GPS,Fri Nov 13 12:14:14 GMT-05:00 2020,17S,9
614814.9468070262,9763234.607342724,89.69263647363363,GPS,Fri Nov 13 12:14:19 GMT-05:00 2020,17S,9
614814.9426057311,9763234.611485552,89.6998716354307,GPS,Fri Nov 13 12:14:24 GMT-05:00 2020,17S,9
614814.9443275324,9763234.611168845,89.69140777132745,GPS,Fri Nov 13 12:14:29 GMT-05:00 2020,17S,9
614812.4463538977,9763234.665526852,90.16201255572425,DGNSS,Fri Nov 13 12:14:34 GMT-05:00 2020,17S,9
614803.5796351779,9763227.793103749,104.9034624736639,INVALID,Fri Nov 13 12:14:39 GMT-05:00 2020,17S,9
614812.3947031328,9763234.647441696,90.19187309890683,DGNSS,Fri Nov 13 12:14:44 GMT-05:00 2020,17S,9
614812.3808782939,9763234.653600493,90.21570459423704,DGNSS,Fri Nov 13 12:14:49 GMT-05:00 2020,17S,9
614812.3796477041,9763234.645713959,90.20893937605396,DGNSS,Fri Nov 13 12:14:54 GMT-05:00 2020,17S,9
614812.3420553738,9763234.633607501,90.22990975413346,DGNSS,Fri Nov 13 12:14:59 GMT-05:00 2020,17S,9
614812.2956564599,9763234.634637259,90.25815091218541,DGNSS,Fri Nov 13 12:15:04 GMT-05:00 2020,17S,9
614812.2660124957,9763234.635471558,90.30192904993937,DGNSS,Fri Nov 13 12:15:09 GMT-05:00 2020,17S,9
